subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,peak_latency_ms,peak_amplitude_roi,n_epochs,baseline_noise_uv,snr,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
02,P1,54 Incorrect,nan,-0.7884946283913912,124.0,4.301899288865761,3,2.024811276542283,0.38941635574940237,112.0,81.33961171189324,125.80313570006041,44.46352398816717
02,N1,54 Incorrect,184.93210147837,-5.481648043415513,188.0,-9.191609045793326,3,1.7753303245773255,3.087677807069845,180.0,149.26527775300866,215.85359687875268,66.58831912574402
02,P3b,54 Incorrect,529.5872657392023,0.09837089693483987,512.0,5.444024580672986,3,1.6175627836874866,0.060814268185985385,464.0,438.4707202121692,535.6467448721266,97.17602465995742
02,P1,54 Correct,nan,-0.35776226672393424,120.0,1.7979736898605418,6,2.292684450096364,0.15604514031963582,112.0,81.33961171189324,125.80313570006041,44.46352398816717
02,N1,54 Correct,166.3725342735603,-2.6517539061043363,164.0,-6.224832466838868,6,2.3872670352275356,1.1107906518097552,180.0,149.26527775300866,215.85359687875268,66.58831912574402
02,P3b,54 Correct,488.88259001062926,4.3432749766639125,496.0,5.6487107970053865,6,1.842296459760945,2.3575331503527357,464.0,438.4707202121692,535.6467448721266,97.17602465995742
03,P1,54 Incorrect,93.4473928590404,3.1563003877326214,92.0,7.275149935411957,2,1.5783607071051475,1.999733250786225,112.0,81.33961171189324,125.80313570006041,44.46352398816717
03,N1,54 Incorrect,184.78296492121626,-2.649889877580005,200.0,-3.275220007793195,2,2.1225224296810876,1.2484626030445083,180.0,149.26527775300866,215.85359687875268,66.58831912574402
03,P3b,54 Incorrect,nan,-4.218050823099155,468.0,-0.12387462986728275,2,1.5466459579828817,2.727224547627105,464.0,438.4707202121692,535.6467448721266,97.17602465995742
03,P1,54 Correct,102.05087441031338,2.8534016941495843,104.0,4.977017886476305,5,2.8218901692734395,1.0111668147893431,112.0,81.33961171189324,125.80313570006041,44.46352398816717
03,N1,54 Correct,176.93543782030656,-6.330433770275992,156.0,-8.818757730889605,5,2.289379605666789,2.765130673221068,180.0,149.26527775300866,215.85359687875268,66.58831912574402
03,P3b,54 Correct,nan,-5.182436932890584,508.0,-3.3186791882544857,5,1.7304125988284023,2.99491400860085,464.0,438.4707202121692,535.6467448721266,97.17602465995742
04,P1,54 Incorrect,nan,-0.01149231326965258,124.0,3.242826076591758,3,2.3085937154991845,0.004978057937391383,112.0,81.33961171189324,125.80313570006041,44.46352398816717
04,N1,54 Incorrect,nan,0.5246511159100247,200.0,-0.42514400822790865,3,1.9090482653607055,0.27482338997379635,180.0,149.26527775300866,215.85359687875268,66.58831912574402
04,P3b,54 Incorrect,498.6602504490008,4.291622787641534,532.0,6.8548686131127194,3,2.218841280033817,1.9341729515579078,464.0,438.4707202121692,535.6467448721266,97.17602465995742
04,P1,54 Correct,111.66717388917667,1.3561053541277637,112.0,2.8978923640001266,5,0.7930122757182723,1.7100685520907843,112.0,81.33961171189324,125.80313570006041,44.46352398816717
04,N1,54 Correct,194.33204497099982,-1.1651399582063726,196.0,-2.5003955344026845,5,0.6416632966515392,1.8158120688631376,180.0,149.26527775300866,215.85359687875268,66.58831912574402
04,P3b,54 Correct,485.8104926871546,4.2999562288090045,524.0,5.580199740995231,5,0.6414610433696001,6.703378596806596,464.0,438.4707202121692,535.6467448721266,97.17602465995742
05,P1,54 Incorrect,122.93078942825444,0.43495067902008855,124.0,3.7102475683781724,2,1.2186413797755078,0.35691441816969405,112.0,81.33961171189324,125.80313570006041,44.46352398816717
05,N1,54 Incorrect,189.8256014099037,-5.6041988355657395,196.0,-8.220918999694945,2,1.3834491387943817,4.050888954580264,180.0,149.26527775300866,215.85359687875268,66.58831912574402
05,P3b,54 Incorrect,nan,-3.3179476267497177,440.0,2.040489095661569,2,0.8553436476266051,3.879081391387321,464.0,438.4707202121692,535.6467448721266,97.17602465995742
05,P1,54 Correct,nan,-0.3436469584111954,112.0,1.2307483659771152,5,0.7938561068915168,0.4328831830201641,112.0,81.33961171189324,125.80313570006041,44.46352398816717
05,N1,54 Correct,178.34995158462633,-6.696714007057485,172.0,-9.064844139521783,5,0.5323659737088808,12.57915482539746,180.0,149.26527775300866,215.85359687875268,66.58831912574402
05,P3b,54 Correct,509.1073495045546,1.632110280426957,508.0,4.782549083747052,5,0.4625362433468515,3.528610576799823,464.0,438.4707202121692,535.6467448721266,97.17602465995742
08,P1,54 Incorrect,nan,-3.4155331594630067,116.0,-0.24563495866400273,2,0.8995223996507897,3.7970518141504606,112.0,81.33961171189324,125.80313570006041,44.46352398816717
08,N1,54 Incorrect,184.30393537410754,-7.834433537184787,176.0,-9.789172269923911,2,1.3865438714624199,5.650332238619777,180.0,149.26527775300866,215.85359687875268,66.58831912574402
08,P3b,54 Incorrect,nan,-4.573857304353676,480.0,-2.016455852465761,2,1.8805016289192238,2.4322538380263983,464.0,438.4707202121692,535.6467448721266,97.17602465995742
08,P1,54 Correct,107.15591303225904,3.9253036077333006,116.0,5.144305797297161,2,2.7552049890094588,1.4246865926097614,112.0,81.33961171189324,125.80313570006041,44.46352398816717
08,N1,54 Correct,nan,2.55330365251194,212.0,0.2819570731033143,2,1.0663368784391873,2.3944624856726775,180.0,149.26527775300866,215.85359687875268,66.58831912574402
08,P3b,54 Correct,504.490300188152,2.656498402128219,444.0,7.133551227055255,2,4.126088672128187,0.6438296927724603,464.0,438.4707202121692,535.6467448721266,97.17602465995742
