subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,peak_latency_ms,peak_amplitude_roi,n_epochs,baseline_noise_uv,snr,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
02,P1,1a,114.65513375702263,0.6769559404198504,116.0,4.54561454931633,1,1.8983944915972844,0.35659392366349973,84.0,6.035267824704761,126.2150749057127,120.17980708100794
02,N1,1a,nan,0.8842212851435834,160.0,0.1412361580446885,1,3.0740893612220286,0.2876368189869676,164.0,135.99644604912385,209.92173947485298,73.92529342572914
02,P3b,1a,459.2718551926155,6.07024943579375,456.0,6.81021760074515,1,4.955704053511007,1.224901521609853,456.0,444.5881334575505,472.0853719661328,27.497238508582313
02,Fz,1a,nan,1.13423432768401,48.0,-4.0837032118637655,1,2.306834211045909,0.4916843708372752,104.0,28.642473625062934,127.71407840533908,99.07160478027615
02,P1,1b,93.64850689397187,2.1470052528176757,76.0,5.641041357072033,2,2.630487812025243,0.8162004184177046,84.0,6.035267824704761,126.2150749057127,120.17980708100794
02,N1,1b,nan,0.8441851532734862,164.0,-4.3023558193575075,2,2.727477306735663,0.3095113389903271,164.0,135.99644604912385,209.92173947485298,73.92529342572914
02,P3b,1b,457.9189009816732,6.213946640307053,448.0,8.340769296250143,2,2.481819725749661,2.5037864659690627,456.0,444.5881334575505,472.0853719661328,27.497238508582313
02,Fz,1b,107.59240599727619,-1.2551109769788629,124.0,-5.15273162742514,2,2.0379584435457376,0.6158668156133551,104.0,28.642473625062934,127.71407840533908,99.07160478027615
02,P1,1c,nan,-0.48591620660994256,120.0,2.8586742454338205,3,0.7494171650981956,0.6483921495796982,84.0,6.035267824704761,126.2150749057127,120.17980708100794
02,N1,1c,165.26213760911324,-2.8025103437140446,160.0,-4.943618729254034,3,0.7835970603928191,3.5764686793351923,164.0,135.99644604912385,209.92173947485298,73.92529342572914
02,P3b,1c,nan,-1.0075884527594954,472.0,-0.6320067433991156,3,1.1609386712478698,0.8679084242033722,456.0,444.5881334575505,472.0853719661328,27.497238508582313
02,Fz,1c,nan,2.4269590201145435,112.0,0.0667588327436258,3,1.6255919262254843,1.4929694106870843,104.0,28.642473625062934,127.71407840533908,99.07160478027615
03,P1,1a,75.19566734403898,3.1784764274701214,96.0,7.158926131128819,2,1.8360792725834427,1.7311215669886997,84.0,6.035267824704761,126.2150749057127,120.17980708100794
03,N1,1a,149.03313678855972,-2.452934403241961,140.0,-7.114782429989186,2,2.163061936884607,1.1340102478872374,164.0,135.99644604912385,209.92173947485298,73.92529342572914
03,P3b,1a,nan,-4.186254121906202,452.0,-2.687241289332232,2,3.575810769408752,1.1707146691653332,456.0,444.5881334575505,472.0853719661328,27.497238508582313
03,Fz,1a,86.67325277868942,-5.667633716194227,92.0,-8.182334391170462,2,2.325445126504824,2.4372253086499436,104.0,28.642473625062934,127.71407840533908,99.07160478027615
03,P1,1b,nan,-2.1948450360791125,100.0,7.843059927813882,2,2.4671785810385676,0.8896174168126836,84.0,6.035267824704761,126.2150749057127,120.17980708100794
03,N1,1b,159.6108315883461,-4.448087903210353,148.0,-8.14666261715606,2,2.2219906793748105,2.0018481375726953,164.0,135.99644604912385,209.92173947485298,73.92529342572914
03,P3b,1b,461.7802405927872,2.1903621573715273,472.0,2.720898619444153,2,3.8262806534849307,0.5724520378233551,456.0,444.5881334575505,472.0853719661328,27.497238508582313
03,Fz,1b,nan,0.5242769905093172,100.0,-7.06463689927669,2,1.8655159989529195,0.2810359122106615,104.0,28.642473625062934,127.71407840533908,99.07160478027615
03,P1,1c,nan,-0.3458367571518885,120.0,2.4890375065561767,3,1.8235250612750526,0.18965286767710837,84.0,6.035267824704761,126.2150749057127,120.17980708100794
03,N1,1c,171.5799218922625,-5.107661913434014,200.0,-8.591906986677348,3,2.2226132380188433,2.2980435039551903,164.0,135.99644604912385,209.92173947485298,73.92529342572914
03,P3b,1c,460.1100622939647,3.1440111462304885,448.0,3.493459949140769,3,2.9166687862113343,1.0779458953632048,456.0,444.5881334575505,472.0853719661328,27.497238508582313
03,Fz,1c,nan,0.3354119697229622,120.0,-3.3848638398818767,3,1.6269518083796017,0.20615974486486058,104.0,28.642473625062934,127.71407840533908,99.07160478027615
03,P1,1d,76.58421358816085,5.803165286202132,112.0,11.022861500872818,2,4.949786856700703,1.1724071064486707,84.0,6.035267824704761,126.2150749057127,120.17980708100794
03,N1,1d,nan,2.15298219184522,144.0,-2.4829959882889616,2,5.501083056480553,0.3913742384436276,164.0,135.99644604912385,209.92173947485298,73.92529342572914
03,P3b,1d,459.5252581742048,4.582627032713049,460.0,5.428564644270756,2,4.618819651692989,0.9921640978195211,456.0,444.5881334575505,472.0853719661328,27.497238508582313
