subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,peak_latency_ms,peak_amplitude_roi,n_epochs,baseline_noise_uv,snr,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
02,P1,5a3,111.40372230607132,2.3786868794738543,116.0,5.700867383616714,3,1.6054619062829805,1.4816215010551514,108.0,77.78685294742311,123.29527441962259,45.50842147219947
02,N1,5a3,156.43420099737466,-1.7711089851583453,156.0,-5.4115112406212775,3,1.524286244186383,1.1619267653390841,176.0,141.70572957166812,214.93844812614697,73.23271855447885
02,P3b,5a3,468.51486053033375,3.2450470187537603,464.0,4.6454044251490885,3,1.7434740596748781,1.8612533984927166,472.0,426.9954847286647,524.3101643171793,97.31467958851465
02,P1,5b3,nan,-6.0221693943260926,120.0,-3.5469113953428835,1,2.8976609080220173,2.0782864474079914,108.0,77.78685294742311,123.29527441962259,45.50842147219947
02,N1,5b3,182.66990038751968,-5.2805879428103815,192.0,-7.746137316327863,1,2.7867821483335784,1.894869301487392,176.0,141.70572957166812,214.93844812614697,73.23271855447885
02,P3b,5b3,463.76617132233264,3.9307905125559324,444.0,6.590139856018679,1,2.1270070854010195,1.8480382785442546,472.0,426.9954847286647,524.3101643171793,97.31467958851465
02,P1,5c3,nan,-3.314439196071913,120.0,4.9635682551314195,1,2.719257338829071,1.2188766207390769,108.0,77.78685294742311,123.29527441962259,45.50842147219947
02,N1,5c3,173.19846554009476,-2.2644675410593704,172.0,-6.834785086572442,1,2.4345939065278683,0.9301212555357431,176.0,141.70572957166812,214.93844812614697,73.23271855447885
02,P3b,5c3,476.0363367286216,1.1666591198160465,460.0,2.5855868915207716,1,3.0176220747290947,0.38661538487081176,472.0,426.9954847286647,524.3101643171793,97.31467958851465
02,P1,5d3,105.33856309016798,2.5054240137468256,116.0,3.705362542534125,2,2.977245709335692,0.8415240992339382,108.0,77.78685294742311,123.29527441962259,45.50842147219947
02,N1,5d3,nan,1.1762008125129677,168.0,-2.711012909197369,2,3.234425611124616,0.3636505994967064,176.0,141.70572957166812,214.93844812614697,73.23271855447885
02,P3b,5d3,469.2411337809921,6.346559332953729,476.0,9.551499461011558,2,2.1755235669590856,2.917256070833953,472.0,426.9954847286647,524.3101643171793,97.31467958851465
03,P1,5a3,102.23187306227618,1.8273784923883973,104.0,5.001306271325531,2,4.189321582871363,0.43619914495461365,108.0,77.78685294742311,123.29527441962259,45.50842147219947
03,N1,5a3,167.10626924525525,-7.485341923347442,156.0,-12.117618104491726,2,5.1201288378456855,1.4619440565673205,176.0,141.70572957166812,214.93844812614697,73.23271855447885
03,P3b,5a3,463.374758554413,0.28924092018599623,472.0,3.981707980516173,2,3.9723505796841843,0.07281354311103928,472.0,426.9954847286647,524.3101643171793,97.31467958851465
03,P1,5e3,nan,-4.7826543299809305,96.0,-0.7019952809839402,1,3.709414514003264,1.289328629066965,108.0,77.78685294742311,123.29527441962259,45.50842147219947
03,N1,5e3,180.03873789648623,-6.984815982755787,212.0,-11.260678551977708,1,4.428543853409381,1.5772263330707275,176.0,141.70572957166812,214.93844812614697,73.23271855447885
03,P3b,5e3,nan,-3.2093532264173597,464.0,0.7319735522790536,1,7.865223625232862,0.4080434809407395,472.0,426.9954847286647,524.3101643171793,97.31467958851465
04,P1,5a3,102.501011571546,0.78553715216711,116.0,1.1458164884641782,3,1.5347686205278317,0.5118277385010328,108.0,77.78685294742311,123.29527441962259,45.50842147219947
04,N1,5a3,178.78126613836878,-2.054339748934046,212.0,-3.0738327164238735,3,1.2349909133070556,1.6634452341296506,176.0,141.70572957166812,214.93844812614697,73.23271855447885
04,P3b,5a3,479.58930909369576,2.1132086024064227,484.0,3.663415462662473,3,1.2836027925391806,1.6463103809755222,472.0,426.9954847286647,524.3101643171793,97.31467958851465
04,P1,5c3,nan,-0.9825340178667794,120.0,3.1278641784459587,1,1.4729722609034475,0.6670417657859641,108.0,77.78685294742311,123.29527441962259,45.50842147219947
04,N1,5c3,185.308700240627,-2.0495700940968087,180.0,-6.33106761567062,1,0.9870763262903269,2.0764048731667915,176.0,141.70572957166812,214.93844812614697,73.23271855447885
04,P3b,5c3,484.28006531271745,4.4780927541934785,472.0,8.474216173276806,1,1.101961516751268,4.063746951341371,472.0,426.9954847286647,524.3101643171793,97.31467958851465
04,P1,5d3,117.09019350228982,1.180496559030926,120.0,7.509556034662927,1,2.6901617170656213,0.43881992355410876,108.0,77.78685294742311,123.29527441962259,45.50842147219947
